PID,INNING_KEY,BATTER_IN_INNING_KEY,PITCH_NUMBER,OUT_KEY,BALLS,STRIKES,IS_RUNNER_ON_1B,IS_RUNNER_ON_2B,IS_RUNNER_ON_3B,PITCHER_KEY,THROW_SIDE_KEY,PITCH_TYPE_TRACKED_KEY,EVENT_RESULT_KEY,PITCH_RESULT_KEY,INDUCED_VERTICAL_BREAK,HORIZONTAL_BREAK,SPIN_RATE_ABSOLUTE,RELEASE_SPEED,RELEASE_SIDE,RELEASE_HEIGHT,RELEASE_EXTENSION,HORIZONTAL_APPROACH_ANGLE,VERTICAL_APPROACH_ANGLE,PLATE_X,PLATE_Z
197,1,1,1,0,0,0,0,0,0,668881,R,FB,field_out,InPlay,14.542200088500977,-12.360300064086914,2402.4599609375,100.76499938964844,-2.4271700382232666,6.0854997634887695,6.460000038146973,1.6129900217056274,-5.7600297927856445,0.1970449984073639,1.9128199815750122
348,1,2,1,1,0,0,0,0,0,668881,R,FB,,BallCalled,14.253800392150879,-10.950300216674805,2273.4599609375,100.43099975585938,-2.5225300788879395,5.970439910888672,6.559999942779541,0.6310160160064697,-4.609899997711182,-0.9430789947509766,2.8774399757385254
1072,1,2,2,1,1,0,0,0,0,668881,R,SL,single,InPlay,5.568769931793213,4.3533501625061035,2314.4599609375,89.8489990234375,-2.6424200534820557,5.894100189208984,6.710000038146973,3.3304800987243652,-6.765510082244873,0.012025400064885616,2.168329954147339
420,1,3,1,1,0,0,1,0,0,668881,R,SL,,FoulBall,4.805409908294678,4.272540092468262,2340.4599609375,89.81099700927734,-2.524290084838867,5.907169818878174,6.550000190734863,3.804229974746704,-6.8776397705078125,0.5847359895706177,2.113189935684204
198,1,3,2,1,0,1,1,0,0,668881,R,SL,,BallCalled,4.132390022277832,1.6241799592971802,2445.4599609375,89.01439666748047,-2.680959939956665,6.1090497970581055,6.369999885559082,2.3852100372314453,-5.898789882659912,-0.6343349814414978,3.4522199630737305
328,1,3,3,1,1,1,1,0,0,668881,R,FB,,FoulBall,17.64299964904785,-15.019700050354004,2388.4599609375,100.69100189208984,-2.3431899547576904,6.187320232391357,6.400000095367432,1.082610011100769,-4.712009906768799,0.04768820106983185,2.722899913787842
422,1,3,4,1,1,2,1,0,0,668881,R,FB,,BallCalled,18.53420066833496,-13.907500267028809,2409.4599609375,101.12200164794922,-2.1529200077056885,6.193220138549805,6.539999961853027,1.8836499452590942,-5.537680149078369,0.8643710017204285,1.841689944267273
1600,1,3,5,1,2,2,1,0,0,668881,R,SL,,BallCalled,5.347809791564941,6.661570072174072,2365.4599609375,92.03890228271484,-2.430150032043457,5.9338297843933105,6.360000133514404,4.4650797843933105,-7.713079929351807,1.07492995262146,1.2861299514770508
1073,1,3,6,1,3,2,1,0,0,668881,R,FB,,FoulBall,18.319599151611328,-13.417699813842773,2312.4599609375,101.32599639892578,-2.2984299659729004,6.135509967803955,6.460000038146973,2.101249933242798,-4.3736701011657715,0.8718090057373047,2.866070032119751
245,1,3,7,1,3,2,1,0,0,668881,R,FB,walk,BallCalled,15.797499656677246,-12.822199821472168,2320.4599609375,101.40699768066406,-2.5580999851226807,5.969550132751465,6.420000076293945,1.3969999551773071,-3.7402000427246094,-0.08994849771261215,3.524290084838867
